miRNA,SRR18856083,SRR18856084,SRR18856085,SRR18856086,SRR18856087,SRR18856088,SRR18856089,SRR18856090,SRR18856091,SRR18856092,SRR18856093,SRR18856094,SRR18856095,SRR18856096,SRR18856097,SRR18856098,SRR18856099,SRR18856100,SRR18856101,SRR18856102,SRR18856103,SRR18856104,SRR18856105,SRR18856106,SRR18856107,SRR18856108,SRR18856109,SRR18856110,SRR18856111,SRR18856112,SRR18856113,SRR18856114,SRR18856115,SRR18856116,SRR18856117,SRR18856118,SRR18856119,SRR18856120,SRR18856121,SRR18856122,SRR18856123,SRR18856124,SRR18856125,SRR18856126,SRR18856127,SRR18856128,SRR18856129,SRR18856130
rno-miR-292-3p,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rno-miR-292-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
rno-miR-293-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rno-miR-293-5p,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
rno-miR-294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rno-miR-295-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
rno-miR-295-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rno-miR-296-3p,2,1,1,1,3,1,0,1,0,0,0,0,0,1,2,2,0,2,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,2,1,1,1,1,1,0,0,0,2,1,0,0,0,0
rno-miR-296-5p,1,3,2,31,1,0,2,4,1,1,2,8,0,2,53,41,2,4,3,3,0,1,0,1,2,0,0,8,1,0,0,0,1,1,4,0,0,3,7,0,0,0,0,2,0,2,1,4
rno-miR-297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rno-miR-298-3p,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
rno-miR-298-5p,5,4,3,10,4,2,0,7,1,1,10,7,0,1,11,3,0,5,0,0,1,1,2,4,1,2,7,4,2,1,1,1,1,1,2,4,2,10,11,1,1,2,1,1,3,3,0,5
rno-miR-2985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rno-miR-299a-3p,7,1,7,9,0,1,2,0,0,0,0,10,0,1,15,9,0,0,0,0,0,0,0,0,8,0,4,6,5,0,0,0,0,0,0,1,2,6,27,0,0,0,1,0,0,0,0,0
rno-miR-299a-5p,0,0,0,4,0,0,1,0,0,0,0,3,0,0,5,2,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,4,1,0,0,0,0,0,0,0,0
rno-miR-299b-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rno-miR-299b-5p,0,0,0,1,0,0,0,0,0,0,0,2,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0
rno-miR-29a-3p,10704,6672,4470,21534,1511,1533,1107,4987,5291,1549,5939,38351,393,5022,29436,14394,5469,6757,969,3649,2105,2543,3092,1998,3668,1365,3824,14070,6189,5641,3075,1476,1929,2187,2346,3651,2577,3589,5278,2230,2370,1106,2410,863,3492,3293,1594,5490
rno-miR-29a-5p,11,14,5,18,0,0,3,0,1,1,2,30,7,10,50,15,0,2,1,1,0,0,4,0,3,3,8,8,18,1,1,1,0,1,2,1,1,1,1,1,0,1,2,0,0,2,1,0
rno-miR-29b-1-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rno-miR-29b-3p,279,320,168,753,42,48,45,48,144,30,213,1268,75,311,1150,553,279,153,33,84,63,66,117,66,168,98,113,645,246,267,102,63,84,96,78,81,129,108,84,57,42,33,57,15,153,78,51,156
rno-miR-29b-5p,2,2,4,28,0,0,2,4,8,0,4,6,2,0,18,16,0,4,0,2,6,0,4,0,0,0,2,14,2,0,0,0,0,0,2,10,2,0,0,0,0,0,2,0,4,2,0,4
rno-miR-29c-3p,10754,7068,3532,21054,866,994,992,2036,4000,970,4674,27438,450,4226,28540,11312,1872,2406,654,1360,668,858,2020,958,2866,1206,4090,8426,5818,2372,938,830,1072,2530,1348,2364,826,2626,4024,600,828,656,894,300,1886,1110,1052,2158
rno-miR-29c-5p,6,14,10,60,0,0,4,0,0,0,6,36,0,10,42,28,2,0,0,0,0,0,4,2,4,0,4,14,8,0,0,2,0,2,0,4,0,2,12,0,0,0,2,0,0,2,4,0
rno-miR-300-3p,1,2,1,7,0,0,0,0,1,0,0,9,0,1,18,12,0,0,0,0,0,0,0,0,2,0,3,1,3,0,0,0,0,0,0,0,0,6,10,1,0,0,0,0,0,0,0,0
rno-miR-300-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rno-miR-301a-3p,96,83,46,201,62,54,16,159,115,53,150,184,9,42,373,175,97,83,243,71,13,34,182,41,35,17,50,103,83,212,101,106,107,118,102,158,95,42,60,75,89,19,74,79,60,116,52,191
rno-miR-301a-5p,0,1,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rno-miR-301b-3p,1,3,1,0,2,0,0,7,6,1,8,4,0,0,4,1,5,10,4,3,0,2,5,1,0,0,1,1,1,15,6,0,6,3,3,1,3,1,1,1,2,3,8,0,0,5,5,6
rno-miR-301b-5p,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rno-miR-3064-3p,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
rno-miR-3064-5p,1,1,3,3,0,0,0,0,0,0,0,6,0,1,2,2,0,0,0,0,0,0,0,0,3,0,3,4,8,0,0,0,0,0,0,0,0,2,6,0,0,0,0,0,0,0,0,0
rno-miR-3065-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rno-miR-3065-5p,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
rno-miR-3068-3p,54,48,53,86,7,4,8,11,21,6,11,280,19,34,123,61,5,23,8,12,10,8,19,15,93,50,54,48,138,17,13,9,12,10,9,34,16,36,140,26,8,7,12,1,26,22,4,28
rno-miR-3068-5p,15,11,6,42,2,1,2,3,2,0,2,46,5,3,72,15,2,1,0,1,0,0,3,0,10,2,2,12,6,3,1,2,1,1,1,2,1,3,13,0,0,0,1,0,3,0,1,2
rno-miR-3072,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rno-miR-3074,0,0,0,1,2,1,0,3,0,2,0,1,0,2,3,3,1,2,1,3,0,2,1,0,0,1,0,2,1,2,2,2,0,0,0,1,1,0,2,2,4,0,0,5,1,0,0,0
rno-miR-3075,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0
rno-miR-3084a-1-5p,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
rno-miR-3084a-3p,12,24,12,12,0,0,4,0,0,0,8,52,4,20,8,8,0,0,0,0,0,0,0,0,8,32,8,4,24,0,0,4,0,0,0,0,0,8,4,0,0,0,0,0,0,0,0,0
rno-miR-3084a-5p,0,0,0,4,0,0,2,2,0,0,0,2,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0
rno-miR-3084b-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rno-miR-3084b-5p,0,0,0,2,0,0,1,1,0,0,0,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
rno-miR-3085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rno-miR-3099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rno-miR-30a-3p,733,304,636,1454,15,13,83,33,22,18,65,1681,239,331,3209,432,4,27,41,22,54,14,76,27,644,109,556,285,302,12,7,18,22,22,23,147,8,871,1972,117,42,22,20,15,104,31,45,73
rno-miR-30a-5p,7612,4591,7542,15158,211,279,759,499,541,412,929,29617,4129,3157,26338,5391,225,803,477,504,940,474,849,560,10185,2917,7732,3908,7070,349,308,392,319,311,459,2061,323,9570,17291,1118,445,308,316,347,1193,454,520,1069
rno-miR-30b-3p,4,4,9,20,0,0,3,0,0,0,0,34,2,3,36,13,0,0,0,0,0,0,0,0,6,1,3,5,2,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,1,0,0
rno-miR-30b-5p,76,58,70,703,10,18,47,49,164,36,157,820,20,78,927,407,358,106,35,75,25,85,105,42,53,22,29,621,100,154,85,63,60,46,71,89,156,40,130,50,74,13,22,21,59,60,40,108
rno-miR-30c-1-3p,12,13,7,61,2,0,3,0,1,0,5,32,0,3,49,24,0,0,0,1,0,1,1,0,9,2,12,16,5,1,0,1,0,1,1,0,0,14,15,1,1,0,0,0,1,0,0,0
rno-miR-30c-2-3p,76,45,62,184,0,0,9,0,0,1,0,231,21,47,343,77,1,1,0,0,0,1,1,2,96,17,117,74,52,0,0,0,0,0,0,1,1,161,179,3,0,0,0,0,0,0,1,1
rno-miR-30c-5p,573,355,207,4293,11,12,179,50,106,20,135,3059,90,281,5312,1692,140,59,48,29,47,60,55,55,266,121,148,1994,358,127,61,53,52,25,51,71,122,210,599,33,37,6,9,30,35,34,33,78
rno-miR-30d-3p,11,6,7,24,0,1,0,2,2,0,2,23,2,6,37,11,0,0,0,0,0,0,1,0,8,1,9,8,4,1,1,0,1,0,0,1,1,5,5,0,1,0,1,0,0,1,0,4
rno-miR-30d-5p,1127,523,959,4423,73,64,249,159,191,121,248,4077,275,508,5281,2052,140,364,80,286,333,209,196,173,782,272,738,1812,636,189,162,129,97,112,161,367,225,825,1672,345,171,62,91,101,347,215,126,365
rno-miR-30e-3p,548,220,438,936,8,6,41,47,20,12,26,1132,221,247,1835,430,11,22,66,23,36,13,66,29,456,108,368,256,299,25,10,26,21,15,26,102,16,602,1349,126,18,9,27,23,54,48,26,105
rno-miR-30e-5p,674,537,405,1053,22,29,54,64,59,27,133,2554,275,414,2343,539,64,69,39,63,70,43,89,40,458,285,342,728,661,73,66,54,40,29,43,117,78,468,607,99,55,13,32,29,69,70,22,129
rno-miR-3102,0,0,0,2,0,0,0,0,0,1,0,1,0,0,1,4,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rno-miR-3120,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rno-miR-31a-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rno-miR-31a-5p,23,16,34,149,0,0,6,9,9,26,19,141,2,9,338,258,38,12,7,25,1,35,23,6,15,1,30,149,12,96,10,9,22,21,11,12,6,43,58,9,10,4,4,5,14,20,14,16
rno-miR-31b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rno-miR-32-3p,0,2,0,2,0,0,0,1,0,0,1,1,0,0,3,2,1,1,1,0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2
rno-miR-32-5p,1,3,0,3,1,0,0,12,4,1,16,3,0,0,6,3,15,13,8,5,2,3,9,5,0,0,1,2,0,10,5,7,5,7,8,7,8,0,0,3,6,2,1,7,2,10,4,12
rno-miR-320-3p,643,266,301,1688,674,679,70,1679,1136,414,777,1003,18,264,3024,1989,946,1146,809,827,247,575,1588,328,326,18,259,636,140,3089,890,604,1358,836,1047,599,392,724,931,280,845,255,844,512,422,898,723,2012
rno-miR-320-5p,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
rno-miR-322-3p,78,32,72,238,22,32,10,60,134,32,64,380,14,46,508,176,40,128,34,118,14,38,62,62,60,24,38,180,58,96,158,72,84,76,124,106,94,152,330,22,44,18,44,16,76,58,82,186
rno-miR-322-5p,342,280,228,1108,6,16,48,26,44,28,50,1254,28,170,2008,894,20,28,14,24,12,14,26,10,194,38,122,802,246,18,42,16,28,28,32,20,22,142,212,6,12,10,8,4,8,18,6,52
rno-miR-323-3p,1,1,0,9,0,0,1,0,0,0,1,12,0,1,32,7,0,1,0,0,2,0,0,0,1,0,0,4,0,1,0,1,1,0,1,1,3,4,12,0,0,0,0,0,1,1,0,3
rno-miR-323-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rno-miR-324-3p,3,0,0,23,1,0,0,7,2,4,10,12,0,0,20,38,5,8,4,6,3,1,2,7,1,0,1,15,4,7,2,3,6,1,1,2,5,1,1,2,2,0,3,4,2,2,0,5
rno-miR-324-5p,55,34,15,131,2,6,7,9,7,11,19,127,1,31,144,118,7,11,8,5,3,5,12,2,15,3,26,83,25,14,4,3,4,4,4,16,5,23,13,10,3,1,4,6,7,2,2,17
rno-miR-325-3p,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rno-miR-325-5p,0,0,0,2,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rno-miR-326-3p,1,3,2,52,4,1,3,42,51,8,43,33,0,3,22,59,136,78,13,35,5,15,16,13,1,1,3,34,5,89,49,19,16,10,34,20,33,5,3,8,20,2,22,17,7,36,9,54
rno-miR-326-5p,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rno-miR-327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rno-miR-328a-3p,11,4,1,135,10,13,5,45,52,14,71,27,3,2,99,166,88,94,28,45,20,15,31,21,2,1,0,81,5,46,52,20,15,6,26,13,86,1,2,17,14,7,24,13,8,35,9,69
rno-miR-328a-5p,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rno-miR-328b-3p,1,0,0,1,2,2,0,0,3,3,2,1,0,0,3,1,6,5,0,2,2,3,3,0,1,0,0,1,1,3,4,2,1,2,5,0,3,0,0,1,1,1,2,1,1,1,1,3
rno-miR-329-3p,4,2,1,13,0,0,0,0,0,0,0,5,0,0,27,4,0,0,0,0,0,0,0,0,1,0,1,6,0,0,0,0,0,0,0,1,0,1,8,0,0,0,0,0,0,0,0,0
rno-miR-329-5p,1,0,0,3,0,1,0,0,0,0,0,2,0,0,12,1,0,0,0,0,1,0,0,0,2,1,1,2,2,0,0,0,0,0,0,0,0,5,10,0,0,0,0,0,0,0,0,0
rno-miR-33-3p,1,0,0,0,0,0,0,1,0,0,1,2,0,2,2,2,1,1,0,0,0,0,1,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0
rno-miR-33-5p,141,79,69,176,5,10,5,32,19,18,46,316,3,66,266,134,40,25,27,13,7,10,39,25,36,17,68,201,113,55,17,15,12,1,7,23,12,42,88,15,9,4,12,11,12,15,3,37
rno-miR-330-3p,1,1,2,12,16,11,1,45,24,8,13,4,0,3,21,17,40,57,15,40,10,10,30,13,4,0,3,4,0,67,24,18,29,12,25,17,24,3,6,13,20,6,18,13,15,28,12,61
rno-miR-330-5p,1,1,3,8,0,0,1,2,2,1,0,3,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,4,0,3,0,1,0,0,0,1,0,2,2,0,2,0,1,0,0,1,0,1
rno-miR-331-3p,9,13,4,72,0,0,5,1,3,3,2,32,1,2,113,66,0,1,2,2,0,1,1,0,5,3,6,32,6,3,2,0,2,0,1,5,1,5,2,2,0,0,0,1,3,1,1,1
rno-miR-331-5p,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
rno-miR-335,4,11,4,40,3,1,2,6,15,5,8,33,0,7,101,42,7,12,0,21,5,0,18,3,11,3,7,33,4,10,8,19,5,20,3,18,2,12,10,4,5,1,3,2,27,3,10,20
rno-miR-336-3p,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rno-miR-336-5p,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rno-miR-337-3p,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
rno-miR-337-5p,3,2,0,14,0,0,1,0,0,0,0,15,0,0,25,8,0,0,0,0,0,0,0,0,1,0,2,8,0,0,0,0,0,0,0,0,0,8,5,0,0,0,0,0,1,0,0,0
rno-miR-338-3p,270,172,103,232,0,1,12,2,2,2,4,639,22,192,785,143,2,1,0,0,1,4,2,2,96,38,132,142,222,3,1,2,1,0,1,3,0,112,138,0,1,1,2,2,3,1,3,4
rno-miR-338-5p,9,3,7,13,0,2,0,2,0,1,2,27,0,4,46,17,1,1,3,2,0,5,1,1,3,1,6,13,3,2,2,1,1,4,2,3,0,7,14,0,2,0,2,1,1,3,1,4
rno-miR-339-3p,12,3,9,26,8,11,1,88,45,17,34,36,0,5,49,24,74,107,15,54,19,27,24,25,5,0,8,22,4,112,54,18,28,14,40,11,68,10,12,19,22,9,51,19,10,38,16,67
rno-miR-339-5p,63,41,24,331,43,31,12,251,171,51,304,170,6,36,322,377,349,298,81,129,28,80,123,98,13,10,26,171,40,419,158,71,113,63,80,119,152,14,25,63,97,17,120,63,38,102,26,195
rno-miR-340-3p,44,36,44,76,0,0,6,8,6,4,2,138,8,20,160,66,6,2,4,0,0,2,6,0,40,6,36,50,38,6,4,2,10,2,0,2,0,42,90,0,2,4,2,8,0,8,0,4
rno-miR-340-5p,44,52,102,92,6,6,4,38,14,6,16,336,24,28,406,122,24,42,16,12,4,14,40,14,182,36,108,72,108,56,44,10,20,6,28,22,18,278,380,52,24,6,24,40,10,66,30,80
rno-miR-341,30,10,15,38,3,0,1,1,1,0,4,57,8,11,66,29,0,3,1,1,3,0,1,0,14,8,13,16,16,0,0,1,0,0,0,7,1,37,121,4,1,0,0,0,4,0,1,2
rno-miR-342-3p,47,48,55,437,85,278,23,627,513,131,227,329,24,22,710,655,554,646,173,593,101,607,380,271,48,32,43,287,67,774,540,197,483,256,561,154,207,64,138,147,339,43,450,221,100,648,251,1323
rno-miR-342-5p,4,2,5,15,1,1,0,1,4,1,1,21,0,3,19,10,0,5,2,3,1,1,3,0,7,1,3,7,3,9,5,2,3,3,1,2,0,7,6,2,1,0,4,0,3,1,0,10
rno-miR-343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rno-miR-344a-3p,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rno-miR-344a-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rno-miR-344b-1-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rno-miR-344b-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rno-miR-344b-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rno-miR-344g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rno-miR-344i,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
